Dataset,Mean Train RMSE,Mean Val RMSE,Mean Test RMSE
FD001_linear_rul_no_norm_0,58.28145415885772,56.029065601572164,61.772989161840236
linear_rul_1,26.153444706543002,23.386592913941275,33.29446085021549
FD001_piecewise_rul_2,11.869260315143043,12.511610942119106,13.637364957424685
FD001_low_variance_1,13.510812348814548,12.722730869446641,13.652873348404649
FD001_drop_s14,13.463916993953584,12.586231035056565,13.212947273662907
FD001_drop_s14_s11,14.109155115398616,12.467191858430906,13.346564902480486
FD001_drop_s14_s12,13.699775524769457,12.953792950126791,13.963292269605446
FD002_linear_rul_no_norm_0,59.130555052856955,53.55314310633966,65.98314203496149
FD002_linear_rul_1,49.35477937943767,45.06650904559263,56.25965157917767
FD002_piecewise_rul_2,23.999648183042254,23.91389894426,23.711627221283265
